time,start_value,end_value,highest,lowest,trade_volume,trade_value,percent_change
2017-09-25 09:35,3829.22,3830.38,3830.51,3826.56,4123799,57.6亿,-
2017-09-25 09:40,3830.15,3820.29,3830.15,3820.29,4089254,53.9亿,0.26%
2017-09-25 09:45,3820.37,3823.45,3824.02,3819.16,3743279,48.7亿,0.13%
2017-09-25 09:50,3823.16,3823.06,3823.84,3822.22,3158765,40.8亿,0.04%
2017-09-25 09:55,3822.70,3825.69,3825.75,3820.41,3452599,45.7亿,0.14%
2017-09-25 10:00,3825.27,3830.98,3831.24,3825.27,2659652,38.1亿,0.16%
2017-09-25 10:05,3831.08,3834.15,3835.03,3831.08,2750340,40.6亿,0.1%
2017-09-25 10:10,3834.37,3831.58,3835.39,3831.58,2309515,34.9亿,0.1%
2017-09-25 10:15,3831.81,3831.69,3832.25,3830.74,1884553,28.3亿,0.04%
2017-09-25 10:20,3831.83,3828.72,3832.18,3828.72,1764905,26.7亿,0.09%
2017-09-25 10:25,3828.77,3827.92,3829.77,3827.80,1887303,27.6亿,0.05%
2017-09-25 10:30,3827.92,3827.60,3828.42,3826.69,2042568,28.3亿,0.05%
2017-09-25 10:35,3827.60,3828.56,3828.73,3827.24,1688442,24亿,0.04%
2017-09-25 10:40,3828.56,3825.16,3829.06,3824.98,1723587,24.5亿,0.11%
2017-09-25 10:45,3824.61,3822.72,3824.61,3822.07,2116182,29.4亿,0.07%
2017-09-25 10:50,3823.46,3823.61,3824.23,3822.59,1391788,20.1亿,0.04%
2017-09-25 10:55,3823.49,3827.87,3827.99,3823.49,1394030,20.7亿,0.12%
2017-09-25 11:00,3828.03,3827.20,3828.47,3826.77,1149628,16.1亿,0.04%
2017-09-25 11:05,3827.28,3825.32,3827.28,3825.32,1251746,17.9亿,0.05%
2017-09-25 11:10,3825.17,3820.62,3826.24,3820.62,1530986,20.8亿,0.15%
2017-09-25 11:15,3820.92,3821.02,3821.86,3819.88,1222458,17.6亿,0.05%
2017-09-25 11:20,3821.36,3817.07,3821.39,3816.82,1387251,19.1亿,0.12%
2017-09-25 11:25,3816.55,3817.47,3817.76,3815.07,1427972,19亿,0.07%
2017-09-25 11:30,3817.22,3822.03,3822.47,3817.22,1229486,15.9亿,0.14%
2017-09-25 13:05,3822.05,3821.86,3822.08,3819.06,1447750,17.9亿,0.08%
2017-09-25 13:10,3822.19,3821.72,3822.97,3821.62,913893,12.9亿,0.04%
2017-09-25 13:15,3822.01,3821.38,3822.01,3820.47,866092,12.8亿,0.04%
2017-09-25 13:20,3820.80,3820.50,3821.33,3819.96,976814,13.4亿,0.04%
2017-09-25 13:25,3820.85,3819.15,3821.04,3819.02,905669,13.7亿,0.05%
2017-09-25 13:30,3819.10,3821.15,3821.51,3819.03,1243682,18亿,0.07%
2017-09-25 13:35,3821.00,3820.59,3821.49,3819.27,1285640,17.7亿,0.06%
2017-09-25 13:40,3819.79,3820.72,3820.72,3818.57,1581913,20.2亿,0.06%
2017-09-25 13:45,3821.01,3823.10,3823.45,3820.90,1352811,18亿,0.07%
2017-09-25 13:50,3823.15,3824.25,3824.44,3822.90,993437,14.2亿,0.04%
2017-09-25 13:55,3824.10,3821.47,3824.46,3820.88,1048405,14.7亿,0.09%
2017-09-25 14:00,3821.14,3821.77,3821.87,3819.08,1641403,20.9亿,0.07%
2017-09-25 14:05,3822.27,3822.19,3823.49,3821.84,1462828,19.8亿,0.04%
2017-09-25 14:10,3822.27,3822.96,3824.09,3819.26,2336724,28.9亿,0.13%
2017-09-25 14:15,3823.45,3822.73,3824.10,3822.65,1643343,20.5亿,0.04%
2017-09-25 14:20,3822.13,3821.43,3822.51,3819.92,2458327,30.6亿,0.07%
2017-09-25 14:25,3821.43,3821.51,3823.07,3820.94,2473481,31.9亿,0.06%
2017-09-25 14:30,3821.51,3824.02,3824.02,3818.27,3810962,42.1亿,0.15%
2017-09-25 14:35,3824.02,3823.60,3825.15,3823.20,1980034,25.2亿,0.05%
2017-09-25 14:40,3823.60,3819.71,3823.62,3819.33,1887488,25.4亿,0.11%
2017-09-25 14:45,3819.24,3819.60,3819.82,3815.78,3822950,42亿,0.11%
2017-09-25 14:50,3819.69,3812.26,3819.74,3812.26,3176917,39.3亿,0.2%
2017-09-25 14:55,3812.75,3817.83,3818.32,3811.12,7516114,77.8亿,0.19%
2017-09-25 15:00,3817.41,3817.79,3818.59,3815.76,5165889,58.2亿,0.07%
2017-09-26 09:35,3810.33,3819.62,3819.90,3810.33,3534294,43.3亿,0.25%
2017-09-26 09:40,3819.68,3819.05,3820.16,3817.58,2714830,34.9亿,0.07%
2017-09-26 09:45,3819.30,3817.43,3820.81,3817.43,2764340,35亿,0.09%
2017-09-26 09:50,3817.39,3811.24,3817.39,3811.24,2582483,35.7亿,0.16%
2017-09-26 09:55,3811.38,3813.83,3813.89,3810.93,2242891,32.7亿,0.08%
2017-09-26 10:00,3813.63,3814.05,3814.85,3813.63,2176322,27.9亿,0.03%
2017-09-26 10:05,3813.96,3809.32,3814.16,3809.04,2018378,29.5亿,0.13%
2017-09-26 10:10,3809.15,3813.36,3813.36,3809.04,2084297,28.7亿,0.11%
2017-09-26 10:15,3813.47,3814.28,3814.67,3811.87,1795825,24.3亿,0.07%
2017-09-26 10:20,3814.39,3818.55,3818.58,3814.28,1696783,24.5亿,0.11%
2017-09-26 10:25,3818.24,3820.40,3820.83,3818.24,2302452,25.3亿,0.07%
2017-09-26 10:30,3820.40,3820.27,3821.62,3820.11,2009034,20.9亿,0.04%
2017-09-26 10:35,3820.27,3819.92,3820.27,3818.17,2292300,21.5亿,0.05%
2017-09-26 10:40,3819.97,3821.63,3821.63,3819.71,1902826,19.1亿,0.05%
2017-09-26 10:45,3821.45,3819.13,3821.69,3818.91,1578337,18.6亿,0.07%
2017-09-26 10:50,3819.39,3817.80,3819.39,3817.35,1458570,19亿,0.05%
2017-09-26 10:55,3817.42,3816.07,3817.42,3815.34,1579696,18亿,0.05%
2017-09-26 11:00,3815.85,3818.03,3818.03,3815.70,1341807,17.6亿,0.06%
2017-09-26 11:05,3817.74,3817.31,3818.36,3817.05,1409132,15.7亿,0.03%
2017-09-26 11:10,3817.27,3818.35,3818.77,3816.82,1550969,18.3亿,0.05%
2017-09-26 11:15,3818.43,3820.48,3820.53,3818.43,1169304,14.2亿,0.06%
2017-09-26 11:20,3820.31,3820.42,3820.72,3819.80,1013646,13亿,0.02%
2017-09-26 11:25,3820.08,3819.49,3820.51,3819.36,1000644,12.5亿,0.03%
2017-09-26 11:30,3819.21,3819.74,3819.85,3819.02,1050028,12.2亿,0.02%
2017-09-26 13:05,3819.70,3820.69,3821.23,3819.70,2123491,18.4亿,0.04%
2017-09-26 13:10,3820.43,3820.87,3821.36,3820.12,1081678,11.7亿,0.03%
2017-09-26 13:15,3820.67,3819.28,3821.20,3819.28,1840793,16.5亿,0.05%
2017-09-26 13:20,3819.39,3819.61,3819.97,3818.82,1140627,13.2亿,0.03%
2017-09-26 13:25,3819.49,3818.48,3820.19,3818.09,1089262,13.9亿,0.05%
2017-09-26 13:30,3818.44,3816.34,3818.74,3816.18,1158283,14.7亿,0.07%
